director,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,movies
Taylor Hackford,5.95,5.8580804766910575,6.018616257343847,2
Tatsuya Nagamine,7.9,6.7837245237353,7.214341421633434,2
Brian Helgeland,7.2,7.032655381715571,7.113902617358556,2
Brian O'Malley,5.449999999999999,5.773106869866591,5.386000208713893,2
Brian Taylor,4.9,5.113589404280559,4.879687125471824,2
Takeshi Kitano,6.8,6.384066700366024,6.561887070487747,2
Bryan Buckley,6.449999999999999,6.134072770209696,6.220207717008156,2
Burak Aksak,7.2,5.993008849557523,6.778164696242861,2
Burr Steers,6.1,6.12604290797135,5.988590119043091,2
Byron Howard,7.85,7.861402162649936,7.787181160988652,2
Byung-gil Jung,6.9,6.402938242228328,6.615760523619241,2
Sylvia Soska,5.5,5.928673610087935,5.452671957464901,2
Cal Brunker,5.65,5.648696816740445,5.72301438879189,2
Cameron Crowe,6.25,6.203736598989937,6.195572220193,2
Camille Delamarre,5.45,5.423368144973535,5.321009568510563,2
Sylvain White,4.75,5.140903968375376,4.855200685248313,2
Brett Pierce,5.6,5.847528517110266,5.516988210075027,2
