actors,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,year,movies
Dimitris Anastasiou,6.2,6.006701030927836,6.098083978801467,2010.0,1
Dimitrije Bogdanov,6.1,6.013005654632448,6.011071587372165,2013.0,1
Dimitrija Doksevski,7.7,6.080325329202169,6.7692130959218835,2012.0,1
Dimitri Storoge,7.0,6.236690647482014,6.69657569079505,2011.0,1
Dimitri Diatchenko,5.0,5.075162852847837,5.02266472397604,2012.0,1
Dimitri Bajlanis,4.8,5.430033003300331,4.89810298102981,2016.0,1
Dimiter Doichinov,4.2,4.4510707428740215,4.259699116453077,2014.0,1
Dimiter D. Marinov,8.2,8.02889923081895,8.182008952345312,2018.0,1
Dimitar Stoyanov,6.0,6.532217727105554,5.7,2015.0,1
Dimi Hart,6.6,6.0196916608269095,6.38530534351145,2016.0,1
Dimas Anggara,7.0,6.880209895052475,6.690318077575032,2018.0,1
Dimas Aditya,6.6,6.161678146524734,6.219074696303954,2017.0,1
Dion Mucciacito,7.1,7.1374738797306705,7.0483680619583255,2017.0,1
Dionicio Roberto Avilés García,6.0,5.9,5.942616679418516,2015.0,1
Djim Leenheers,6.4,5.9,6.245345235926398,2010.0,1
Divian Ladwa,7.1,7.165710065414644,6.888989411484044,2018.0,1
Djibril Gueye,6.9,6.47984496124031,6.6811417107422955,2014.0,1
Djebril Zonga,7.6,6.5970315398886825,7.374346793349169,2019.0,1
Django Marsh,5.4,5.39196811771919,5.419493177387914,2011.0,1
Dixita Pandya,6.7,6.13019943019943,6.25675057208238,2020.0,1
Diwakar Dhayani,2.4,4.387857457105148,2.9395783421178727,2014.0,1
Divyetta Kaveri,7.3,6.38236092265943,6.556554092730395,2016.0,1
Divyavani,8.5,7.049107142857142,7.428395061728395,2018.0,1
Divya Menon,7.6,6.526075686884397,7.26041528018102,2015.0,1
Divya Jagdale,7.8,6.330395817774459,7.2827586206896555,2011.0,1
Divya Das,7.2,6.61640625,7.106267574829719,2013.0,1
Divjot Singh Chandhok,8.2,7.106531204644412,7.8889586250181045,2013.0,1
Divina Cook,6.7,6.439073711676452,6.356296030177834,2018.0,1
Diva Tyler,5.4,5.748957298907646,5.324595066035386,2015.0,1
